"hour_ist","epc","shutheight","hourly_count"
"2026-03-06 08:00:00","e20047154ab068218ea8010f","588.01",102
"2026-03-06 09:00:00","e20047154ab068218ea8010f","0.00",2
"2026-03-06 09:00:00","e20047154ab068218ea8010f","588.01",285
"2026-03-06 10:00:00","e20047154ab068218ea8010f","0.00",5
"2026-03-06 10:00:00","e20047154ab068218ea8010f","588.01",357
"2026-03-06 11:00:00","e20047154ab068218ea8010f","0.00",3
"2026-03-06 11:00:00","e20047154ab068218ea8010f","588.01",302
"2026-03-06 12:00:00","e20047154ab068218ea8010f","588.01",46
"2026-03-06 13:00:00","e20047154ab068218ea8010f","0.00",1
"2026-03-06 13:00:00","e20047154ab068218ea8010f","588.01",475
"2026-03-06 14:00:00","e20047154ab068218ea8010f","0.00",1
"2026-03-06 14:00:00","e20047154ab068218ea8010f","588.01",367
"2026-03-06 15:00:00","e20047154ab068218ea8010f","0.00",1
"2026-03-06 15:00:00","e20047154ab068218ea8010f","588.01",388
"2026-03-06 16:00:00","e20047154ab068218ea8010f","0.00",1
"2026-03-06 16:00:00","e20047154ab068218ea8010f","588.01",200
"2026-03-06 17:00:00","e20047154ab068218ea8010f","590.87",1
"2026-03-06 18:00:00","e2004711111068214b0e010e","588.89",5
"2026-03-06 18:00:00","e2004711111068214b0e010e","590.87",1
"2026-03-06 18:00:00","e2004711111068214b0e010e","593.15",4
"2026-03-06 18:00:00","e20047154ab068218ea8010f","590.87",2
"2026-03-06 20:00:00","e2004711111068214b0e010e","588.89",235
"2026-03-06 21:00:00","e2004711111068214b0e010e","0.00",3
"2026-03-06 21:00:00","e2004711111068214b0e010e","588.89",622
"2026-03-06 22:00:00","e2004711111068214b0e010e","588.89",437
