"hour_ist","epc","shutheight","hourly_count"
"2026-02-26 09:00:00","e00000000000000000000002","321.24",1
"2026-02-26 09:00:00","e00000000000000000000002","321.41",1
"2026-02-26 09:00:00","e00000000000000000000002","321.56",1
"2026-02-26 09:00:00","e00000000000000000000002","321.84",7
"2026-02-26 09:00:00","e00000000000000000000002","321.90",4
"2026-02-26 09:00:00","e00000000000000000000002","321.95",4
"2026-02-26 09:00:00","e00000000000000000000002","322.01",7
"2026-02-26 09:00:00","e00000000000000000000002","322.10",4
"2026-02-26 09:00:00","e00000000000000000000002","322.27",3
"2026-02-26 09:00:00","e00000000000000000000002","322.38",1
"2026-02-26 09:00:00","e00000000000000000000002","322.79",1
"2026-02-26 09:00:00","e00000000000000000000002","323.03",2
"2026-02-26 09:00:00","e00000000000000000000002","323.26",1
"2026-02-26 09:00:00","e00000000000000000000002","323.66",1
"2026-02-26 09:00:00","e00000000000000000000002","324.42",2
"2026-02-26 09:00:00","e00000000000000000000002","324.95",1
"2026-02-26 09:00:00","e00000000000000000000002","325.61",1
"2026-02-26 09:00:00","e00000000000000000000002","326.37",2
"2026-02-26 09:00:00","e00000000000000000000002","328.53",1
"2026-02-26 10:00:00","e00000000000000000000002","320.60",49
"2026-02-26 10:00:00","e00000000000000000000002","320.77",3
"2026-02-26 10:00:00","e00000000000000000000002","320.84",6
"2026-02-26 10:00:00","e00000000000000000000002","320.95",5
"2026-02-26 10:00:00","e00000000000000000000002","321.08",2
"2026-02-26 11:00:00","e00000000000000000000002","0.00",2
"2026-02-26 11:00:00","e00000000000000000000002","320.60",112
"2026-02-26 12:00:00","e00000000000000000000002","0.00",1
"2026-02-26 12:00:00","e00000000000000000000002","320.60",67
"2026-02-26 13:00:00","e00000000000000000000002","0.00",1
"2026-02-26 13:00:00","e00000000000000000000002","320.60",151
"2026-02-26 14:00:00","e00000000000000000000002","320.60",180
"2026-02-26 15:00:00","e00000000000000000000002","0.00",3
"2026-02-26 15:00:00","e00000000000000000000002","320.60",260
"2026-02-26 16:00:00","e00000000000000000000002","0.00",2
"2026-02-26 16:00:00","e00000000000000000000002","320.60",127
"2026-02-26 17:00:00","e00000000000000000000002","0.00",2
"2026-02-26 17:00:00","e00000000000000000000002","320.60",195
"2026-02-26 18:00:00","e00000000000000000000002","320.60",140
"2026-02-26 19:00:00","e00000000000000000000002","0.00",1
"2026-02-26 19:00:00","e00000000000000000000002","320.60",125
"2026-02-26 21:00:00","e00000000000000000000002","320.60",96
"2026-02-26 22:00:00","e00000000000000000000002","320.60",49
