"hour_ist","epc","shutheight","hourly_count"
"2026-02-26 08:00:00","e00000000000000000000002","0.00",2
"2026-02-26 08:00:00","e00000000000000000000002","393.72",115
"2026-02-26 09:00:00","e00000000000000000000002","0.00",8
"2026-02-26 09:00:00","e00000000000000000000002","393.72",551
"2026-02-26 10:00:00","e00000000000000000000002","393.72",423
"2026-02-26 11:00:00","e00000000000000000000002","393.72",309
"2026-02-26 11:00:00","e200471649e068219e9b0112","381.74",1
"2026-02-26 11:00:00","e200471649e068219e9b0112","381.95",1
"2026-02-26 11:00:00","e200471649e068219e9b0112","382.38",1
"2026-02-26 11:00:00","e200471649e068219e9b0112","382.88",1
"2026-02-26 11:00:00","e200471649e068219e9b0112","384.81",1
"2026-02-26 11:00:00","e200471649e068219e9b0112","385.83",2
"2026-02-26 11:00:00","e200471649e068219e9b0112","393.72",1
"2026-02-26 11:00:00","e200471649e068219e9b0112","399.24",1
"2026-02-26 12:00:00","e200471649e068219e9b0112","0.00",1
"2026-02-26 12:00:00","e200471649e068219e9b0112","381.74",78
"2026-02-26 13:00:00","e200471649e068219e9b0112","0.00",9
"2026-02-26 13:00:00","e200471649e068219e9b0112","381.74",504
"2026-02-26 14:00:00","e200471649e068219e9b0112","0.00",7
"2026-02-26 14:00:00","e200471649e068219e9b0112","381.74",427
"2026-02-26 15:00:00","e200471649e068219e9b0112","0.00",8
"2026-02-26 15:00:00","e200471649e068219e9b0112","381.74",549
"2026-02-26 16:00:00","e200471649e068219e9b0112","0.00",4
"2026-02-26 16:00:00","e200471649e068219e9b0112","381.74",233
"2026-02-26 17:00:00","e200471649e068219e9b0112","0.00",19
"2026-02-26 17:00:00","e200471649e068219e9b0112","381.74",470
"2026-02-26 18:00:00","e200471649e068219e9b0112","0.00",1
"2026-02-26 18:00:00","e200471649e068219e9b0112","381.74",86
"2026-02-26 19:00:00","e200471649e068219e9b0112","0.00",7
"2026-02-26 19:00:00","e200471649e068219e9b0112","381.74",80
"2026-02-26 22:00:00","e200471649e068219e9b0112","0.00",13
"2026-02-26 22:00:00","e200471649e068219e9b0112","381.74",323
