"hour_ist","epc","shutheight","hourly_count"
"2026-02-26 09:00:00","e200471690406821a3010110","0.00",2
"2026-02-26 09:00:00","e200471690406821a3010110","320.07",287
"2026-02-26 10:00:00","e200471690406821a3010110","0.00",1
"2026-02-26 10:00:00","e200471690406821a3010110","320.07",348
"2026-02-26 11:00:00","e200471690406821a3010110","0.00",1
"2026-02-26 11:00:00","e200471690406821a3010110","320.07",194
"2026-02-26 12:00:00","e200471690406821a3010110","320.07",95
"2026-02-26 13:00:00","e200471690406821a3010110","0.00",3
"2026-02-26 13:00:00","e200471690406821a3010110","320.07",222
"2026-02-26 14:00:00","e200471690406821a3010110","320.07",196
"2026-02-26 15:00:00","e200471690406821a3010110","0.00",2
"2026-02-26 15:00:00","e200471690406821a3010110","320.07",216
"2026-02-26 16:00:00","e00000000000000000000002","320.07",1
"2026-02-26 16:00:00","e200471690406821a3010110","320.07",140
"2026-02-26 17:00:00","e200471670a06821a107010d","0.00",1
"2026-02-26 17:00:00","e200471670a06821a107010d","322.03",142
"2026-02-26 17:00:00","e200471670a06821a107010d","322.17",1
"2026-02-26 17:00:00","e200471670a06821a107010d","322.96",2
"2026-02-26 17:00:00","e200471670a06821a107010d","342.11",1
"2026-02-26 18:00:00","e00000000000000000000002","322.03",1
"2026-02-26 18:00:00","e200471670a06821a107010d","322.03",60
"2026-02-26 18:00:00","e200471690406821a3010110","319.87",2
"2026-02-26 18:00:00","e200471690406821a3010110","320.01",2
"2026-02-26 18:00:00","e200471690406821a3010110","320.18",2
"2026-02-26 18:00:00","e200471690406821a3010110","320.73",1
"2026-02-26 18:00:00","e200471690406821a3010110","321.77",1
"2026-02-26 18:00:00","e200471690406821a3010110","323.19",1
"2026-02-26 18:00:00","e200471690406821a3010110","324.58",1
"2026-02-26 18:00:00","e200471690406821a3010110","337.43",2
"2026-02-26 20:00:00","e200471690406821a3010110","0.00",1
"2026-02-26 20:00:00","e200471690406821a3010110","319.87",124
"2026-02-26 21:00:00","e200471690406821a3010110","0.00",3
"2026-02-26 21:00:00","e200471690406821a3010110","319.87",244
