"hour_ist","epc","shutheight","hourly_count"
"2026-03-13 08:00:00","e00000000000000000000236","0.00",16
"2026-03-13 09:00:00","e00000000000000000000236","0.00",184
"2026-03-13 10:00:00","e00000000000000000000236","0.00",196
"2026-03-13 11:00:00","e00000000000000000000236","0.00",213
"2026-03-13 12:00:00","e00000000000000000000236","0.00",34
"2026-03-13 13:00:00","e00000000000000000000236","0.00",181
"2026-03-13 14:00:00","e00000000000000000000236","0.00",160
"2026-03-13 15:00:00","e00000000000000000000236","0.00",162
"2026-03-13 16:00:00","e00000000000000000000236","0.00",144
"2026-03-13 17:00:00","e00000000000000000000236","0.00",208
"2026-03-13 18:00:00","e00000000000000000000236","0.00",142
"2026-03-13 19:00:00","e00000000000000000000236","0.00",165
